,0
X20230503_1-1-31021038722_14b_11.RCC,108.69157547246505
X20230503_1-1-31021038722_15b_07.RCC,124.78721583244365
X20230503_1-1-31021038722_1b_03.RCC,101.70990335104051
X20230503_1-1-31021038722_29b_09.RCC,80.9514206429649
X20230503_1-1-31021038722_2b_05.RCC,82.37559586712605
X20230503_1-1-31021038722_31_02.RCC,97.37508497464299
X20230503_1-1-31021038722_32b_10.RCC,163.7526542823974
X20230503_1-1-31021038722_33b_12.RCC,156.12367466245001
X20230503_1-1-31021038722_36b_08.RCC,135.73043080103142
X20230503_1-1-31021038722_3b_04.RCC,93.52868050136844
X20230503_1-1-31021038722_9b_06.RCC,124.189247350263
X20230615_2-31020999446_11_07.RCC,138.77176069511538
X20230615_2-31020999446_12b_03.RCC,74.41227026132114
X20230615_2-31020999446_14_09.RCC,110.93916257956636
X20230615_2-31020999446_27b_08.RCC,139.13464281988345
X20230615_2-31020999446_34b_04.RCC,131.4078615059342
X20230615_2-31020999446_38b_10.RCC,76.18262596975181
X20230615_2-31020999446_39b_12.RCC,105.7960605847644
X20230615_2-31020999446_3_11.RCC,106.18478119099612
X20230615_2-31020999446_4b_05.RCC,111.64027042202109
X20230615_2-31020999446_5b_02.RCC,69.16214183489564
X20230615_2-31020999446_7b_06.RCC,113.4752921078435
X20230615_3-31020999447_10b_12.RCC,74.80340894689944
X20230615_3-31020999447_12_11.RCC,69.57685972552353
X20230615_3-31020999447_16b_04.RCC,91.29779490057892
X20230615_3-31020999447_21b_03.RCC,133.80358337133413
X20230615_3-31020999447_24b_02.RCC,68.47428299317097
X20230615_3-31020999447_25_06.RCC,171.1572349141731
X20230615_3-31020999447_28b_10.RCC,97.32851236811749
X20230615_3-31020999447_37b_08.RCC,49.86652016943592
X20230615_3-31020999447_6_09.RCC,128.2418785658724
X20230615_3-31020999447_8b_07.RCC,73.6650944497603
X20230616_4-31020999448_11b_03.RCC,48.39450222767738
X20230616_4-31020999448_15_02.RCC,154.75560322674488
X20230616_4-31020999448_19b_09.RCC,58.89722027798261
X20230616_4-31020999448_20b_07.RCC,25.22485345654982
X20230616_4-31020999448_22_05.RCC,49.352362620102554
X20230616_4-31020999448_26_08.RCC,180.4652718369954
X20230616_4-31020999448_26b_11.RCC,112.72593130999584
X20230616_4-31020999448_28_04.RCC,21.03616988536013
X20230616_4-31020999448_35b_06.RCC,132.42251249950112
X20230616_4-31020999448_5_12.RCC,0.46614942341506
X20230623_5-31020999449_13_07.RCC,153.14814584762706
X20230623_5-31020999449_13b_09.RCC,50.21511244963601
X20230623_5-31020999449_17b_02.RCC,60.082514804982274
X20230623_5-31020999449_18b_06.RCC,75.98656483135933
X20230623_5-31020999449_1_10.RCC,9.0746331481365
X20230623_5-31020999449_20_08.RCC,156.48939679302924
X20230623_5-31020999449_24_04.RCC,27.40359773934365
X20230623_5-31020999449_25b_11.RCC,162.859821736809
X20230623_5-31020999449_27_12.RCC,74.73730705799787
X20230623_5-31020999449_31b_05.RCC,6.083597043108642
X20230623_5-31020999449_6b_03.RCC,98.53839529968398
X20230623_6-31020999471_16_12.RCC,108.25741843230556
X20230623_6-31020999471_22b_05.RCC,94.34129180319557
X20230623_6-31020999471_23_03.RCC,159.87260547953562
X20230623_6-31020999471_23b_04.RCC,77.77824053900179
X20230623_6-31020999471_29_11.RCC,159.77160395721774
X20230623_6-31020999471_30b_09.RCC,118.13805699445123
X20230623_6-31020999471_32_08.RCC,85.55255459728656
X20230623_6-31020999471_40b_10.RCC,10.530930862054703
X20230623_6-31020999471_4_06.RCC,8.769796001606267
X20230623_6-31020999471_7_07.RCC,36.92734654890225
X20230623_6-31020999471_8_02.RCC,133.61192777526813
X20230711_7-31021038724_10C_11.RCC,61.63679980841182
X20230711_7-31021038724_11C_12.RCC,106.35960898571395
X20230711_7-31021038724_1C_02.RCC,158.02092096942428
X20230711_7-31021038724_2C_03.RCC,4.5870113966885615
X20230711_7-31021038724_3C_04.RCC,3.5098143879399313
X20230711_7-31021038724_4C_05.RCC,90.25430381390653
X20230711_7-31021038724_5C_06.RCC,71.43900914424944
X20230711_7-31021038724_6C_07.RCC,108.87075930675282
X20230711_7-31021038724_7C_08.RCC,105.69819948854689
X20230711_7-31021038724_8C_09.RCC,121.02716702625771
X20230711_7-31021038724_9C_10.RCC,137.35369018544634
X20230711_8-31021038725_12C_02.RCC,87.7984232754779
X20230711_8-31021038725_13C_03.RCC,123.29007548470871
