FinalGeneName
CD2
KLRK1
HLAE
IFNAR1
ITK
CD4
LCK
LGMN
IFI27
CCR4
CTSS
CD68
IRF5
LY64
TAP2
TAP1
CSF2RA
IFITM1
CXCR3
TNFSF13B
IRF2
HLA.DQB1
IKZF1
CD53
IRF9
ITGAL
STAT1
CCL27
ICOS
CD48
CCL5
B2M
IL1F7
TNFRSF18
CD8A
CD40
CXCL11
C3
CD27
PTPRC
CD3E
CD37
HLA.DPB1
MRC1
CXCL9
IFNGR1
XCL2
GATA3
HLA.DPA1
SKAP1
IRF8
TARP
TLR7
